Fluxo de Trabalho;Responsável;Sprint;Tipo de História;Sub-Classificação;Pontuação;Duração estimada;Duração total do impedimento;Motivo do impedimento;Squad;Aberto em;Finalizado em
Ativado - Disponível para uso;Desenvolvedor 6; - Sprint 1_R2_2025;Produto Digital com Software;Nova funcionalidade;5;Até 3 semanas - 15 dias úteis (M);0;;Squad 4;19/03/2025 11:00:29;30/04/2025 10:18:02
Benefício capturado;Desenvolvedor 35; - Sprint 1_R2_2025;Produto Digital com Software;Nova funcionalidade;5;Até 3 semanas - 15 dias úteis (M);0;;Squad 4;19/03/2025 13:06:25;29/04/2025 12:03:57
Ativado - Disponível para uso;Desenvolvedor 28; - Sprint 1_R2_2025;Produto Digital com Software;Nova funcionalidade;8;Até 3 semanas - 15 dias úteis (M);11;Dependências externas;Squad 4;19/03/2025 13:09:38;30/04/2025 10:15:50
Ativado - Disponível para uso;Desenvolvedor 6; - Sprint 4_R1_2025;Atividades Pura-Infra;Pura-Infra;3;Até 3 semanas - 15 dias úteis (M);0;;Squad 4;19/03/2025 13:21:02;01/04/2025 11:59:38
Ativado - Disponível para uso;Desenvolvedor 35; - Sprint 4_R1_2025;Atividades Pura-Infra;Pura-Infra;3;Até 3 semanas - 15 dias úteis (M);0;;Squad 4;19/03/2025 13:35:16;01/04/2025 11:59:20
Ativado - Disponível para uso;Desenvolvedor 29;;Produto Digital com Software;Alteração de funcionalidade ;5;Até 1 semana - 5 dias úteis (PP);768291;;Squad 6;19/03/2025 15:50:07;08/04/2025 10:21:22
Ativado - Disponível para uso;Desenvolvedor 12;SPRINT 4 RELEASE 1;Produto Digital com Software;Evolução Técnica;1;Até 1 semana - 5 dias úteis (PP);0;;Squad 2;20/03/2025 10:58:27;21/03/2025 22:19:07
Ativado - Disponível para uso;Desenvolvedor 26;RELEASE 2;Produto Digital com Software;Evolução Técnica;;Até 1 semana - 5 dias úteis (PP);0;;Squad 8;20/03/2025 12:22:41;14/04/2025 10:39:22
Ativado - Disponível para uso;Desenvolvedor 11;SPRINT 4 RELEASE 1;Produto Digital com Software;Nova funcionalidade;3;Até 1 semana - 5 dias úteis (PP);0;;Squad 2;20/03/2025 15:34:26;28/03/2025 12:12:49
Ativado - Disponível para uso;Desenvolvedor 7;SPRINT 4 RELEASE 1;Produto Digital com Software;Alteração de funcionalidade ;2;Até 1 semana - 5 dias úteis (PP);0;;Squad 2;20/03/2025 17:45:58;27/03/2025 11:09:30
Ativado - Disponível para uso;Desenvolvedor 12;;Atividades Pura-Infra;Pura-Infra;3;Até 1 semana - 5 dias úteis (PP);0;;Squad 2;20/03/2025 17:53:59;25/04/2025 18:13:19
Ativado - Disponível para uso;Desenvolvedor 12;SPRINT 4 RELEASE 1;Atividades Pura-Infra;Pura-Infra;1;Até 1 semana - 5 dias úteis (PP);0;;Squad 2;21/03/2025 11:01:41;21/03/2025 22:18:49
Ativado - Disponível para uso;Desenvolvedor 5;_R2_25;Atividades Pura-Infra;Pura-Infra;;Até 1 semana - 5 dias úteis (PP);0;;Squad 3;21/03/2025 11:12:38;10/04/2025 11:34:33
Ativado - Disponível para uso;Desenvolvedor 20;SPRINT 4 RELEASE 1;Produto Digital com Software;Alteração de funcionalidade ;3;Até 1 semana - 5 dias úteis (PP);0;;Squad 5;21/03/2025 11:19:31;28/03/2025 09:00:13
Ativado - Disponível para uso;Desenvolvedor 2;RELEASE 2;Produto Digital com Software;Nova funcionalidade;;Até 1 semana - 5 dias úteis (PP);0;;Squad 8;21/03/2025 13:48:00;25/04/2025 12:12:36
